歌单ID,歌单名称,歌单类型,标签,创建时间,最后更新时间,歌曲数量,播放量,收藏量,分享量,评论数,创建者,性别,用户类型,VIP类型,省份,城市
26467411,那些你熟悉却又不知道名字的轻音乐,,轻音乐、学习、治愈,2014-08-30,2022-01-03,44,119811280,2637394,38163,7154,Lelow,男,0,0,440000,440300
12810702009,【2025音律联觉】熠曲丰碑歌单(看简介),,游戏、ACG,2024-11-03,2025-04-13,30,6458,168,27,0,医疗干员_MAT,女,0,11,330000,330200
13032410131,『欧美R&B』如果忧郁是种天赋,,欧美、R&B/Soul、蓝调,2024-12-22,2025-04-06,117,101683,816,23,4,只是长胖Zzz,男,0,11,370000,370200
12210493597,梦核美学 | 渗透灵魂的量子冥想感知乐,,电子、安静、孤独,2024-06-22,2025-03-23,92,242796,4858,55,17,凌晨一点的莱茵猫,男,4,11,440000,440300
12937783580,【高质量纯音】带你放松|享受自然,,学习、治愈、轻音乐,2024-12-01,2025-04-13,104,251763,4405,85,25,csy流云,女,0,11,340000,340200
13164652785,超绝进鼓|拯救心灵的超爽力量,,流行、说唱,2025-01-18,2025-04-12,116,204668,2013,15,8,iambeiqing,女,200,11,海外,海外
10113950624,梦核美学 | 怪诞 虚无 迷幻 超现实主义风,,电子、安静、孤独,2024-05-31,2025-03-21,79,161497,3299,38,10,凌晨一点的莱茵猫,男,4,11,440000,440300
9444599062,孤独感拉满BGM“风虽大却都绕过我的灵魂”,,轻音乐、孤独,2024-03-15,2025-04-02,209,530252,7776,55,29,冰台银-ziii,女,200,11,530000,530100
13061620601,开启好心情丨高能量显化歌曲,,欧美、流行、快乐,2024-12-29,2025-04-12,90,708181,2748,24,12,胖头鱼崽金金金,女,4,11,440000,440100
12580093585,电影氛围·高级唯美质感·审美积累,,欧美、浪漫、流行,2024-09-10,2025-04-13,68,154352,1626,20,13,失忆宇宙,女,200,11,海外,海外
